lon;lat;var1
156.5;58.5;-0.18685680284715908
156.5;59.5;-0.2214579613051265
157.5;20.5;-0.22060948434407524
157.5;21.5;-0.21532301386713765
157.5;22.5;-0.2250995843225258
157.5;23.5;-0.29469209533225316
157.5;24.5;-0.4111834758611832
157.5;25.5;-0.5570761956132368
157.5;26.5;-0.7184721051713593
157.5;27.5;-0.8084283722280905
157.5;28.5;-0.8896439631096794
157.5;29.5;-0.9972693955336671
157.5;30.5;-1.1124667242396893
157.5;31.5;-1.1245247035895647
157.5;32.5;-1.146496417443383
157.5;33.5;-1.142708575122981
157.5;34.5;-1.1253894060628002
157.5;35.5;-1.102606830236343
157.5;36.5;-1.1806872058225595
157.5;37.5;-1.2797224008810903
157.5;38.5;-1.3096128186664322
157.5;39.5;-1.2410987385667935
157.5;40.5;-1.106901656299927
157.5;41.5;-0.992465391536221
157.5;42.5;-0.8740003177372592
157.5;43.5;-0.7047666445057734
157.5;44.5;-0.5464619550076532
157.5;45.5;-0.4143110585984913
157.5;46.5;-0.2855794971834054
157.5;47.5;-0.09980028384466749
157.5;48.5;0.1054517690533807
157.5;49.5;0.2770830632419457
157.5;50.5;0.4235348610195542
157.5;51.5;0.4746690926156466
157.5;58.5;-0.16695621339969402
157.5;59.5;-0.18510792490355515
158.5;20.5;-0.21735114161258173
158.5;21.5;-0.21696430972767256
158.5;22.5;-0.21295038167641966
158.5;23.5;-0.28352369744295614
158.5;24.5;-0.40152197779600557
158.5;25.5;-0.5424080228787301
158.5;26.5;-0.6959993760671237
158.5;27.5;-0.7970115432652816
158.5;28.5;-0.8826810641721966
158.5;29.5;-0.9925798984113207
158.5;30.5;-1.1137809051076155
158.5;31.5;-1.1325809881419702
158.5;32.5;-1.1507092656605067
158.5;33.5;-1.1493503710590038
158.5;34.5;-1.1514389468267425
158.5;35.5;-1.117943168360087
158.5;36.5;-1.191080816489232
158.5;37.5;-1.264316208991121
158.5;38.5;-1.2975795972586448
158.5;39.5;-1.23364984486172
158.5;40.5;-1.1013290394450463
158.5;41.5;-0.9826937246738925
158.5;42.5;-0.8592113911571289
158.5;43.5;-0.7285454784017477
158.5;44.5;-0.5709403809878575
158.5;45.5;-0.44237114046508247
158.5;46.5;-0.3048047266954801
158.5;47.5;-0.12361719456329774
158.5;48.5;0.0988825203748577
158.5;49.5;0.3040076911833697
158.5;50.5;0.4435833690928406
158.5;51.5;0.5271600638820715
158.5;52.5;0.48927079274496804
158.5;58.5;-0.13261928254881114
158.5;59.5;-0.12563733908129623
159.5;20.5;-0.20300583247789436
159.5;21.5;-0.21584878829971588
159.5;22.5;-0.20791040744868033
159.5;23.5;-0.2812522591113719
159.5;24.5;-0.4020426228239855
159.5;25.5;-0.5316833240051032
159.5;26.5;-0.6662957651698919
159.5;27.5;-0.7883332629139078
159.5;28.5;-0.877965984371067
159.5;29.5;-0.9948949452193929
159.5;30.5;-1.1150221816048078
159.5;31.5;-1.1471397084323889
159.5;32.5;-1.1512239879525175
159.5;33.5;-1.149494483287311
159.5;34.5;-1.1894221003925416
159.5;35.5;-1.1613845831987883
159.5;36.5;-1.2008317585369703
159.5;37.5;-1.264984828055496
159.5;38.5;-1.2699840151065238
159.5;39.5;-1.201030780062619
159.5;40.5;-1.0896727094469103
159.5;41.5;-0.9808629121712309
159.5;42.5;-0.8670432081564307
159.5;43.5;-0.7479925152136261
159.5;44.5;-0.5968917525720133
159.5;45.5;-0.4722959065804409
159.5;46.5;-0.3274274277385143
159.5;47.5;-0.14207759497059638
159.5;48.5;0.08243616400823205
159.5;49.5;0.3082218570593916
159.5;50.5;0.45506519683646723
159.5;51.5;0.5320362960586128
159.5;52.5;0.5133495482746422
159.5;59.5;-0.0740116831898704
160.5;20.5;-0.20506149911542526
160.5;21.5;-0.20443934237103437
160.5;22.5;-0.21421190873926627
160.5;23.5;-0.28440104284301687
160.5;24.5;-0.4038203120523135
160.5;25.5;-0.51711229220595
160.5;26.5;-0.6394254866124784
160.5;27.5;-0.7715804451953648
160.5;28.5;-0.8806695239792741
160.5;29.5;-1.000499899782888
160.5;30.5;-1.1146826357483424
160.5;31.5;-1.174230382483576
160.5;32.5;-1.1775336287945217
160.5;33.5;-1.1779560501639184
160.5;34.5;-1.2135461818674755
160.5;35.5;-1.2154989238045126
160.5;36.5;-1.2172370908510002
160.5;37.5;-1.260354021851359
160.5;38.5;-1.2688391648344566
160.5;39.5;-1.1882838980676036
160.5;40.5;-1.092026248350963
160.5;41.5;-0.9807705056158761
160.5;42.5;-0.8505586406699089
160.5;43.5;-0.7436460210463853
160.5;44.5;-0.6204198024644485
160.5;45.5;-0.4893654656740069
160.5;46.5;-0.3274148087187485
160.5;47.5;-0.14999771190914238
160.5;48.5;0.058217217145122624
160.5;49.5;0.290907010289914
160.5;50.5;0.44920834515284075
160.5;51.5;0.5514331512829087
160.5;52.5;0.5597876726289206
